@relation balanced_bank-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.SwapValues-Clast-Ffirst-Slast-weka.filters.supervised.attribute.NominalToBinary

@attribute age numeric
@attribute job=admin. numeric
@attribute job=technician numeric
@attribute job=management numeric
@attribute job=blue-collar numeric
@attribute job=retired numeric
@attribute job=services numeric
@attribute job=student numeric
@attribute job=unknown numeric
@attribute job=housemaid numeric
@attribute job=unemployed numeric
@attribute job=entrepreneur numeric
@attribute job=self-employed numeric
@attribute marital=single numeric
@attribute marital=married numeric
@attribute marital=divorced numeric
@attribute marital=unknown numeric
@attribute education=university.degree numeric
@attribute education=professional.course numeric
@attribute education=high.school numeric
@attribute education=unknown numeric
@attribute education=basic.9y numeric
@attribute education=basic.4y numeric
@attribute education=basic.6y numeric
@attribute education=illiterate numeric
@attribute default=unknown numeric
@attribute housing=yes numeric
@attribute housing=no numeric
@attribute housing=unknown numeric
@attribute loan=no numeric
@attribute loan=yes numeric
@attribute loan=unknown numeric
@attribute contact=telephone numeric
@attribute month=may numeric
@attribute month=aug numeric
@attribute month=jul numeric
@attribute month=apr numeric
@attribute month=jun numeric
@attribute month=nov numeric
@attribute month=sep numeric
@attribute month=oct numeric
@attribute month=mar numeric
@attribute month=dec numeric
@attribute day_of_week=thu numeric
@attribute day_of_week=tue numeric
@attribute day_of_week=mon numeric
@attribute day_of_week=wed numeric
@attribute day_of_week=fri numeric
@attribute duration numeric
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute poutcome=failure numeric
@attribute poutcome=nonexistent numeric
@attribute poutcome=success numeric
@attribute emp.var.rate numeric
@attribute cons.price.idx numeric
@attribute cons.conf.idx numeric
@attribute euribor3m numeric
@attribute nr.employed numeric
@attribute y {yes,no}

@data
35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,143,1,999,1,1,0,0,-1.8,92.893,-46.2,1.266,5099.1,no
42,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1623,1,999,0,0,1,0,1.1,93.994,-36.4,4.857,5191,yes
36,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,610,2,999,0,0,1,0,1.4,93.444,-36.1,4.965,5228.1,yes
37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1089,2,999,0,0,1,0,1.4,93.918,-42.7,4.963,5228.1,yes
31,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,211,1,999,0,0,1,0,-1.8,93.075,-47.1,1.365,5099.1,no
25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,221,7,999,0,0,1,0,-2.9,92.963,-40.8,1.286,5076.2,yes
42,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,92,5,999,0,0,1,0,1.1,93.994,-36.4,4.857,5191,no
36,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1516,2,999,0,0,1,0,-1.8,92.893,-46.2,1.327,5099.1,yes
62,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,208,1,1,6,0,0,1,-1.1,94.767,-50.8,1.031,4963.6,yes
70,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,150,1,3,2,0,0,1,-3.4,92.379,-29.8,0.77,5017.5,yes
